Publish date,flygtning,migrant,asylansøg,indvandre,immigrant
2007-02-05/2007-02-11,1,1,0,1,1
2007-03-26/2007-04-01,0,0,1,0,0
2007-04-02/2007-04-08,1,0,1,0,0
2007-04-09/2007-04-15,1,0,0,0,0
2007-07-09/2007-07-15,1,0,0,0,0
2007-11-05/2007-11-11,1,0,0,0,0
2007-11-26/2007-12-02,0,0,0,1,0
2008-05-26/2008-06-01,1,0,0,1,0
2008-06-09/2008-06-15,0,0,0,1,0
2008-08-18/2008-08-24,1,0,0,0,0
2009-06-08/2009-06-14,0,0,0,1,0
2009-12-07/2009-12-13,1,0,0,1,0
2009-12-28/2010-01-03,1,0,0,1,0
2010-01-04/2010-01-10,0,0,0,2,0
2010-01-11/2010-01-17,1,0,0,2,0
2010-01-18/2010-01-24,1,0,1,2,0
2010-01-25/2010-01-31,1,0,1,0,0
2010-02-01/2010-02-07,0,0,2,0,0
2010-02-08/2010-02-14,2,0,0,2,0
2010-02-22/2010-02-28,1,0,1,0,0
2010-03-08/2010-03-14,2,0,0,2,0
2010-03-15/2010-03-21,4,0,1,2,0
2010-03-22/2010-03-28,1,0,2,0,0
2010-03-29/2010-04-04,1,0,0,1,0
2010-04-05/2010-04-11,3,1,3,0,1
2010-04-12/2010-04-18,1,0,1,0,0
2010-04-26/2010-05-02,1,0,0,2,0
2010-05-03/2010-05-09,1,1,0,1,0
2010-05-10/2010-05-16,1,0,0,0,0
2010-05-17/2010-05-23,1,0,0,1,0
2010-05-24/2010-05-30,2,0,1,1,0
2010-06-14/2010-06-20,2,1,2,1,0
2010-06-21/2010-06-27,0,0,0,1,0
2010-06-28/2010-07-04,1,0,1,1,0
2010-07-05/2010-07-11,1,1,1,2,1
2010-07-12/2010-07-18,1,0,1,0,0
2010-07-19/2010-07-25,3,0,1,1,0
2010-07-26/2010-08-01,1,1,1,2,1
2010-08-02/2010-08-08,1,1,0,4,1
2010-08-09/2010-08-15,3,0,2,0,0
2010-08-16/2010-08-22,1,0,0,0,0
2010-08-23/2010-08-29,1,1,0,3,1
2010-08-30/2010-09-05,1,0,0,1,0
2010-09-06/2010-09-12,0,0,0,1,0
2010-09-13/2010-09-19,2,0,2,2,0
2010-09-20/2010-09-26,3,0,2,4,0
2010-09-27/2010-10-03,1,0,1,2,0
2010-10-04/2010-10-10,2,0,2,1,0
2010-10-11/2010-10-17,1,0,1,5,0
2010-10-18/2010-10-24,2,1,3,4,1
2010-10-25/2010-10-31,3,0,2,8,0
2010-11-01/2010-11-07,1,0,1,1,0
2010-11-08/2010-11-14,2,0,0,1,0
2010-11-15/2010-11-21,2,0,2,0,0
2010-11-22/2010-11-28,1,0,0,2,0
2010-11-29/2010-12-05,0,0,0,1,0
2010-12-06/2010-12-12,0,0,0,2,0
2010-12-13/2010-12-19,1,0,1,2,0
2010-12-20/2010-12-26,3,1,0,1,0
2010-12-27/2011-01-02,2,0,0,0,0
2011-01-03/2011-01-09,3,1,1,2,1
2011-01-10/2011-01-16,0,1,0,1,1
2011-01-17/2011-01-23,5,0,9,1,0
2011-01-24/2011-01-30,3,1,9,2,1
2011-01-31/2011-02-06,2,0,1,3,0
2011-02-07/2011-02-13,1,0,3,0,0
2011-02-14/2011-02-20,1,0,1,0,0
2011-02-21/2011-02-27,4,1,1,1,1
2011-02-28/2011-03-06,2,0,0,1,0
2011-03-07/2011-03-13,1,0,0,1,0
2011-03-14/2011-03-20,0,0,0,1,0
2011-03-21/2011-03-27,2,0,0,1,0
2011-03-28/2011-04-03,0,0,0,3,0
2011-04-04/2011-04-10,1,0,0,1,0
2011-04-11/2011-04-17,5,0,1,1,0
2011-04-18/2011-04-24,3,1,0,2,1
2011-04-25/2011-05-01,1,0,0,2,0
2011-05-02/2011-05-08,7,1,1,2,1
2011-05-09/2011-05-15,2,0,0,2,0
2011-05-16/2011-05-22,2,2,0,1,2
2011-05-23/2011-05-29,1,0,0,1,0
2011-05-30/2011-06-05,2,0,2,2,0
2011-06-06/2011-06-12,2,0,0,0,0
2011-06-13/2011-06-19,5,0,2,1,0
2011-06-20/2011-06-26,0,0,0,2,0
2011-06-27/2011-07-03,2,1,1,1,1
2011-07-04/2011-07-10,2,0,0,0,0
2011-07-11/2011-07-17,1,0,1,2,0
2011-07-18/2011-07-24,1,0,0,0,0
2011-07-25/2011-07-31,0,0,0,1,0
2011-08-01/2011-08-07,2,0,0,1,0
2011-08-08/2011-08-14,2,0,0,7,0
2011-08-15/2011-08-21,1,0,0,4,0
2011-08-22/2011-08-28,2,0,1,1,0
2011-08-29/2011-09-04,3,0,4,2,0
2011-09-05/2011-09-11,2,0,1,4,0
2011-09-12/2011-09-18,0,1,0,2,1
2011-09-26/2011-10-02,0,0,0,1,0
2011-10-10/2011-10-16,0,0,0,1,0
2011-10-17/2011-10-23,3,0,2,2,0
2011-10-24/2011-10-30,1,1,0,1,1
2011-10-31/2011-11-06,1,0,0,0,0
2011-11-07/2011-11-13,2,0,1,3,0
2011-11-14/2011-11-20,0,0,1,3,0
2011-11-21/2011-11-27,1,1,1,3,1
2011-12-19/2011-12-25,2,0,1,0,0
2011-12-26/2012-01-01,2,0,1,1,0
2012-01-02/2012-01-08,3,0,0,5,0
2012-01-09/2012-01-15,0,0,1,1,0
2012-01-16/2012-01-22,0,0,1,2,0
2012-01-23/2012-01-29,1,2,2,1,2
2012-01-30/2012-02-05,3,1,2,0,0
2012-02-06/2012-02-12,1,0,0,1,0
2012-02-13/2012-02-19,0,0,0,1,0
2012-02-20/2012-02-26,2,0,0,1,0
2012-02-27/2012-03-04,0,0,0,1,0
2012-03-05/2012-03-11,0,0,0,1,0
2012-03-12/2012-03-18,1,0,1,3,0
2012-03-19/2012-03-25,1,0,1,1,0
2012-03-26/2012-04-01,2,0,0,0,0
2012-04-02/2012-04-08,4,0,1,1,0
2012-04-09/2012-04-15,4,0,0,1,0
2012-04-16/2012-04-22,0,0,0,1,0
2012-04-30/2012-05-06,0,0,0,1,0
2012-05-07/2012-05-13,0,0,0,1,0
2012-05-21/2012-05-27,1,0,5,6,0
2012-05-28/2012-06-03,1,0,6,0,0
2012-06-04/2012-06-10,1,0,1,0,0
2012-06-11/2012-06-17,3,0,4,1,0
2012-06-18/2012-06-24,6,0,1,1,0
2012-06-25/2012-07-01,1,0,1,0,0
2012-07-02/2012-07-08,3,1,2,3,1
2012-07-09/2012-07-15,1,0,0,1,0
2012-07-16/2012-07-22,2,0,0,0,0
2012-07-23/2012-07-29,4,0,10,0,0
2012-07-30/2012-08-05,3,0,2,0,0
2012-08-06/2012-08-12,3,1,1,1,1
2012-08-13/2012-08-19,1,0,0,1,0
2012-08-20/2012-08-26,0,0,0,1,0
2012-08-27/2012-09-02,6,0,1,1,0
2012-09-03/2012-09-09,1,0,2,0,0
2012-09-10/2012-09-16,1,0,1,2,0
2012-09-17/2012-09-23,1,0,3,0,0
2012-09-24/2012-09-30,2,0,0,0,0
2012-10-08/2012-10-14,2,1,0,0,0
2012-10-15/2012-10-21,2,0,0,0,0
2012-10-22/2012-10-28,3,0,1,2,0
2012-11-05/2012-11-11,3,0,0,0,0
2012-11-12/2012-11-18,0,1,0,0,1
2012-11-19/2012-11-25,0,0,0,1,0
2012-11-26/2012-12-02,2,0,1,2,0
2012-12-03/2012-12-09,0,0,1,0,0
2012-12-10/2012-12-16,1,0,0,1,0
2012-12-17/2012-12-23,8,1,3,1,1
2012-12-24/2012-12-30,2,0,0,1,0
2012-12-31/2013-01-06,2,0,1,0,0
2013-01-07/2013-01-13,1,0,0,2,0
2013-01-14/2013-01-20,2,0,0,1,0
2013-01-21/2013-01-27,4,0,0,0,0
2013-01-28/2013-02-03,1,0,0,3,0
2013-02-04/2013-02-10,2,0,2,0,0
2013-02-11/2013-02-17,0,0,0,2,0
2013-02-18/2013-02-24,1,0,0,2,0
2013-02-25/2013-03-03,1,0,2,0,0
2013-03-04/2013-03-10,6,0,1,6,0
2013-03-11/2013-03-17,2,0,0,1,0
2013-03-18/2013-03-24,1,0,0,0,0
2013-03-25/2013-03-31,3,0,2,0,0
2013-04-01/2013-04-07,2,0,1,0,0
2013-04-08/2013-04-14,0,1,0,0,0
2013-04-15/2013-04-21,1,0,0,0,0
2013-04-29/2013-05-05,0,1,0,1,1
2013-05-06/2013-05-12,0,0,0,1,0
2013-05-13/2013-05-19,2,1,1,1,1
2013-05-20/2013-05-26,1,0,0,1,0
2013-05-27/2013-06-02,3,0,1,0,0
2013-06-03/2013-06-09,3,3,3,0,2
2013-06-10/2013-06-16,1,1,0,1,1
2013-06-17/2013-06-23,2,0,1,0,0
2013-06-24/2013-06-30,0,0,1,1,0
2013-07-01/2013-07-07,1,0,0,1,0
2013-07-15/2013-07-21,1,0,1,1,0
2013-07-22/2013-07-28,3,1,3,0,0
2013-07-29/2013-08-04,2,1,2,1,1
2013-08-05/2013-08-11,3,0,2,3,0
2013-08-12/2013-08-18,1,0,3,0,0
2013-08-19/2013-08-25,7,1,0,1,1
2013-08-26/2013-09-01,4,2,2,2,2
2013-09-02/2013-09-08,4,0,4,1,0
2013-09-09/2013-09-15,4,0,0,3,0
2013-09-16/2013-09-22,6,0,4,0,0
2013-09-23/2013-09-29,0,2,0,1,2
2013-09-30/2013-10-06,9,6,5,4,5
2013-10-07/2013-10-13,8,4,1,5,2
2013-10-14/2013-10-20,11,3,0,3,3
2013-10-21/2013-10-27,4,2,0,2,1
2013-10-28/2013-11-03,2,0,0,1,0
2013-11-04/2013-11-10,4,0,0,0,0
2013-11-11/2013-11-17,1,0,0,0,0
2013-11-18/2013-11-24,0,0,2,2,0
2013-11-25/2013-12-01,3,0,0,2,0
2013-12-02/2013-12-08,1,0,1,0,0
2013-12-09/2013-12-15,2,0,0,1,0
2013-12-16/2013-12-22,4,0,0,0,0
2013-12-23/2013-12-29,3,0,1,1,0
