Date,Asylansøgninger
2007K1,603
2007K2,376
2007K3,717
2007K4,550
2008K1,541
2008K2,458
2008K3,597
2008K4,813
2009K1,944
2009K2,749
2009K3,950
2009K4,1212
2010K1,1217
2010K2,1086
2010K3,1388
2010K4,1424
2011K1,968
2011K2,821
2011K3,870
2011K4,1147
2012K1,1177
2012K2,1494
2012K3,1588
2012K4,1925
2013K1,1952
2013K2,1620
2013K3,2034
2013K4,1951
2014K1,1518
2014K2,2344
2014K3,7182
2014K4,3748
2015K1,1588
2015K2,2555
2015K3,5633
2015K4,11539
2016K1,3037
2016K2,1255
2016K3,1055
2016K4,919
2017K1,742
2017K2,873
2017K3,1009
2017K4,876
2018K1,831
2018K2,776
2018K3,1105
2018K4,847
2019K1,665
2019K2,533
