Publish date,Text,Title,URL,Publish data
2013-06-06T21:14:35+00:00,"Den mexicanske hær har befriet 165 migranter, der har været holdt fanget af en gruppe kriminelle i det nordlige Mexico. Det fleste af ofrene er fra Centralamerika, oplyser mexicanske myndigheder. Den store gruppe migranter, der inkluderer 20 mindreårige, blev taget til fange, da de forsøgte at krydse grænsen til USA. På baggrund af et tip lykkedes det militærstyrker at finde frem til gruppen, der blev holdt fanget i en overfyldt ejendom under usle og usunde forhold i Gustavo Diaz Ordaz nær grænsen. En mand, der holdt vagt, blev anholdt, mens andre er eftersøgt, siger en talsmand for indenrigsministeriet. Blandt de befriede var 77 fra El Salvador, 50 fra Guatemala, 23 fra Honduras og en enkelt indisk statsborger, siger talsmanden. Den Nationale Menneskerettighedskommission anslog i en rapport fra 2011, at der hvert år kidnappes omtrent 20.000 personer i Mexico, hvor familiemedlemmer i USA opkræves løsesummer på mere end 2000 dollar. I 2010 blev 72 migranter fundet dræbt på en gård - tilsyneladende ejet af narkokartellet Los Zetas. /ritzau/AFP",Mexicansk hær befrier 165 migranter,http://dr.dk/nyheder/udland/mexicansk-haer-befrier-165-migranter,2013-06-06 21:14:35+00:00
2013-04-11T20:30:00+00:00,"Italienske kystvagter udrettede torsdag noget af en heltepræstation, da de reddede 500 afrikanske migranter. Migranterne var stuvet sammen i oppustelige både ud for Siciliens kyst. Om bord i bådene var også enkelte gravide kvinder, og flere af migranterne blev kørt på sygehus for at komme i behandling. De fleste af migranterne var fra lande syd for Sahara, oplyser en talsmand fra kystvagten. - De oppustelige både var maksimalt 10 meter lange, og er kun beregnet til 10 personer om bord. Dog var der op til 100 mennesker i bådene, siger talsmanden Marco de Milla. De fleste af migranterne blev bragt til Lampedusa, en lille ø syd for Sicilien, der hvert år modtager tusindvis af migranter. Tusindvis af mennesker er i årenes løb omkommet i forsøget på at komme til Italien. Både på grund af forlis og mangel på vand og mad. Angiveligt mistede 1500 mennesker livet på denne måde i 2011. Mange af migranterne forsøger at flygte fra de uroligheder, der er opstået efter det såkaldte arabiske forår. /ritzau/NTB",Italien: Kystvagter redder 500 afrikanske migranter,http://dr.dk/nyheder/udland/italien-kystvagter-redder-500-afrikanske-migranter,2013-04-11 20:30:00+00:00
2011-06-12T21:46:00+00:00,"De mexicanske myndigheder har afsløret en trailer med ikke færre end 213 illegale migranter. De 213 personer fra Sydamerika var klemt sammen i traileren uden mad og drikke. Myndighederne oplyser, at transporten blev afsløret ved et checkpoint, og at chaufføren og hans medpassager er blevet tilbageholdt. Blandt de mange i traileren var folk fra Brasilien, Guatemala og El Salvador. Hvert år krydser hundredtusindvis af illegale migranter ifølge AP den sydlige mexicanske grænse i deres forsøg på at komme til USA.",213 migranter gemt i trailer,http://dr.dk/nyheder/udland/213-migranter-gemt-i-trailer,2011-06-12 21:46:00+00:00
2013-08-26T03:53:00+00:00,"Mindst seks mennesker er dræbt, og adskillige flere er kvæstede, efter at et godstog med cirka 300 migranter om bord søndag afsporede i det sydøstlige Mexico. Ulykken skete i et øde og ufremkommeligt sumpområde. Toget, der er kendt som La Bestia (dyret), kører fra Guatemala gennem Mexico til den amerikanske grænse. Migranter fra de latinamerikanske lande betaler normalt omkring 100 dollar til menneskesmuglere for at få adgang til toget - normalt med en plads på taget af godsvognene. Ulykken skete, mens toget kørte gennem staten Tabasco, på et sted, hvor det kørte langs en flod. Fire af de dræbte kommer fra Honduras, siger en talsmand for den lokale regering. Redningsarbejdet er besværliggjort af, at stedet kun er tilgængeligt via vandvejen. Ifølge lokale myndigheder afsporede toget omkring klokken tre om natten. Otte af togets 12 vogne væltede. Myndighederne regner med at finde flere omkomne. Årligt passerer omkring 140.000 personer fra central- og latinamerikanske ulovligt gennem Mexico på deres vej mod USA. Se video fra togulykken øverst i artiklen. /ritzau/AFP",Dødstal stiger efter godstogulykke i Mexico,http://dr.dk/nyheder/udland/doedstal-stiger-efter-godstogulykke-i-mexico,2013-08-26 03:53:00+00:00
2012-10-08T13:03:00+00:00,"Politiet i Københavns Lufthavn lader mange illegale migranter slippe gennem kontrollen, selv om de sagtens kunne stoppes. Sådan lyder påstanden fra en række unavngivne politifolk i seneste nummer af fagbladet Dansk Politi. Og de bakkes op af deres formand, Peter Ibsen, fra Politiforbundet. - Vi har ingen grund til at tro, at det ikke er korrekt, for det stammer fra frontpersonalet selv, siger Peter Ibsen. Ifølge politibladet er problemet, at der ikke er ressourcer til den sagsbehandling, der følger i kølvandet, hver gang en illegal migrant er blevet anholdt. Det har, skriver Dansk Politi, ført til, at der direkte er blevet udstedt en ordre om, at man i nogle tilfælde skal vende det blinde øje til. - Som jeg har hørt det, får politifolkene derude ballade, når de anholder for mange, siger en af bladets unavngivne kilder. Det afvises dog af chefen for politiet i Københavns Lufthavn, Jan Bjørn, der er politiinspektør i Københavns Politi. Ifølge Jan Bjørn er der skruet op for indsatsen over de sidste år. - Men selvfølgelig er der huller i kontrolnettet. Det er ligesom hos færdselspolitiet. De laver masser af spritkontroller, men til trods for det er der altså nogle, som slipper igennem, siger Jan Bjørn. Han ser kritikken fra politifolkene som et udtryk for, at de er meget dedikerede i forhold til deres arbejde. - Vi er som ledelse nødt til at foretage prioriteringer, og dem vil medarbejderne selvfølgelig ikke altid være enige i, siger Jan Bjørn. Ifølge formanden for Københavns Politiforening, Claus Oxfeldt, har situationen skabt frustration hos politifolkene i lufthavnen. - Når de må vende det blinde øje til noget, som de kunne have gjort noget ved, er det klart, at de bliver frustrerede, siger han. Ifølge bladet Dansk Politi søger en del af migranterne direkte videre til Sverige, når først de er kommet gennem Københavns Lufthavn. Der findes af gode grunde ikke præcise tal for, hvor mange der illegalt kommer ind i Danmark via Københavns Lufthavn, men Dansk Politi anslår, at det svinger fra 10 til 70 personer per dag. /ritzau/",Blad: Politi lader illegale passere,http://dr.dk/nyheder/indland/blad-politi-lader-illegale-passere,2012-10-08 13:03:00+00:00
2013-10-04T05:05:00+00:00,"Det store antal døde afrikanske asylsøgere ud for den italienske ø Lampedusa belyser Europas problem med at håndtere den flygtningestrøm, der banker på fra omkringliggende lande. 130 personer er indtil nu fundet døde, efter at båden med op mod 500 afrikanske migranter kæntrede på vej til Lampedusa. Bare 150 er blevet reddet op af vandet i live. Kæntrede både med flygtninge er ikke et sjældent syn i det sydlige Europa, hvor 25.000 er druknet i Middelhavet i løbet af de seneste år, viser tal fra den Internationale Migrationsorganisation. Sidste år døde 1.700 bådflygtninge, mens 2.000 mistede livet i 2011. Samtidig er en mulig masseflugt på vej fra krigen i Syrien i lighed med tilstrømningen fra masseprotesterne i Mellemøsten og Nordafrika samt krigen i Libyen i 2011. Specielt sydeuropæiske lande som Italien, Grækenland og Spanien er hårdt presset. Italien har bedt EU om hjælp til at håndtere den kraftige strøm af flygtninge til landet, og indenrigsminister Angelino Alfano omtaler torsdagens ulykke som en europæisk tragedie. I New York siger en FN-talsmand, at den seneste katastrofe delvis skyldes en politik, der undertrykker indvandrere. - Disse dødsfald må ikke ske. Menneskesmuglernes magt øges, når europæiske lande lukker grænserne, siger François Crepeau, som er FNs specialrapportør for migranters rettigheder. - Uregelmæssig indvandring er ikke en forbrydelse mod hverken mennesker, ejendom eller sikkerhed. 99,99 procent af irregulære migranter udgør ingen sikkerhedstrussel, siger han. /ritzau/AFP",Bådkatastrofe sætter spot på flygtningeproblem,http://dr.dk/nyheder/udland/baadkatastrofe-saetter-spot-paa-flygtningeproblem,2013-10-04 05:05:00+00:00
2010-08-30T11:28:00+00:00,"Over 3000 var samlede ved Tornado-festivalen i byen Miass ved Ural-bjergene i Rusland for at høre rockmusik. Men mellem 80 og 100 skinheads trængte ind på koncertområdet og gik til angreb på tilskuerne med knive, skydevåben og jernkøller. Op til 100 er såret, skriver russiske medier. Blandt andet blev en 14-årig pige stukket gantagne gange i maven med en kniv. Hun døde af stikkene. Ejeren af en lokal café er tilbageholdt under mistanke af at have arrangeret angrebet, rapporterer radioastationen Ekho Moskvy. Sidste år blev mindst 60 dræbt og 306 sårede i Rusland under racistisk motiveret vold. Det melder en menneskerettighedsorganisation. I de fleste tilfælde drejede det sig om angreb på mørkhårede muslimske migranter fra Centralsien.",14-årig pige dræbt ved nynazistisk angreb,http://dr.dk/nyheder/udland/14-aarig-pige-draebt-ved-nynazistisk-angreb,2010-08-30 11:28:00+00:00
2012-01-31T22:35:00+00:00,"Håbet om en bedre fremtid fik en dødelig udgang for de omkring 1500 personer, der sidste år omkom i forsøget på at komme fra Afrika til Europa. Det er rekordmange dødsofre på et enkelt år, siger FN's flygtningeagentur (UNHCR), der tilføjer, at strømmen af flygtninge fortsætter. Sidste års folkelige oprør i særligt Tunesien og Libyen har betydet, at kontrollen ved de to landes grænser ikke er så skrap som før, og det får endnu flere mennesker til at søge mod Europa, heriblandt mange gæstearbejdere fra det centrale og sydlige Afrika. I foråret tvang styrker, der var loyale over for Libyens daværende leder, Muammar Gaddafi, et ukendt antal gæstearbejdere om bord på både, som migranterne så skal måtte sørge for at styre mod Europa. - Det gør 2011 til det dødeligste år for regionen, siden UNHCR begyndte at føre disse statistikker i 2006, siger flygtningeagenturets talskvinde Sybella Wilkes. De omkring 1500 dødsofre, som UNHCR har registreret, er en vurdering baseret på, hvor mange der er fundet druknet og hvor mange der er meldt savnet efter at være sejlet ud på Middelhavet, der adskiller Afrika og Europa. Over 58.000 afrikanere nåede sidste år til Europa, hvilket også er rekordmange. Langt størstedelen af dem - 56.000 - ankom til Italien, mens Malta og Grækenland har modtaget henholdsvis 1574 og 1030 afrikanere, der kom med båd. - Langt de fleste var migranter, ikke asylansøgere, siger Wilkes. Foruden de mange, der krydsede Middelhavet, er mindst 55.000 andre kommet ind i Grækenland via Tyrkiet sidste år, oplyser græske myndigheder.",1500 døde på vej til Europa sidste år,http://dr.dk/nyheder/udland/1500-doede-paa-vej-til-europa-sidste-aar,2012-01-31 22:35:00+00:00
2012-10-08T14:43:00+00:00,"Det skal være slut med at illegale migranter kan passere uhindret gennem Københavns Lufthavn. Det fastslår Dansk Folkepartis integrationsordfører Martin Henriksen, der vil have justitsminister Morten Bødskov til at gå ind i sagen. - Regeringen bør erkende, at der er et problem, og så indkalde partierne, så vi kan finde en løsning på det, siger Martin Henriksen. Hans reaktion kommer, efter at fagbladet Dansk Politi i seneste nummer citerer flere unavngivne betjente i Københavns Lufthavn for, at opgaven med at stoppe illegale migranter er nedprioriteret af politiledelsen. Det skyldes, ifølge bladet, at der ikke er ressourcer til den efterfølgende sagsbehandling. Chefen for politiet i lufthavnen, Jan Bjørn, der er politiinspektør i Københavns Politi, afviser dog, at det forholder sig sådan. Afvisningen gør imidlertid ikke indtryk på Martin Henriksen, der i stedet peger på, at det for nylig kom frem, at indsatsen mod narkohandlere på Vesterbro var blevet nedprioriteret, fordi der ikke var ressourcer til den efterfølgende sagsbehandling. - Jeg synes det er rystende. Nu siger man det samme om illegale udlændinge i lufthavnen. Nu må justitsministeren slå i bordet over for politiledelsen, siger Martin Henriksen. Han mener, at justitsministeren samtidigt skal sætte sine embedsfolk i gang med at analysere, om der er noget galt. - Og her skal de også høre de menige politifolk, som er der ude, hvor det sker. På baggrund af det må vi så diskutere, hvad man kan gøre, siger Martin Henriksen, der peger på den efterfølgende sagsbehandling måske kan gøres simplere. - Det kan være, at der bagefter er for meget papirarbejde. Det ser vi gerne på, siger han. /ritzau/",DF: Illegale i lufthavnen skal stoppes,http://dr.dk/nyheder/politik/df-illegale-i-lufthavnen-skal-stoppes,2012-10-08 14:43:00+00:00
2013-09-10T16:01:00+00:00,"Når syrere i stor stil flygter ud af deres krigsramte hjemland - som de gør lige nu - så blomstrer menneskesmuglernes forretning. Hvis en flygtning for eksempel skal flyve ud af Tyrkiet på et falsk pas, så tjener menneskesmugleren omkring 20.000 kroner. Sådan er det i hvert fald for Abu Muhammed, som Orientering på P1 har talt med i Istanbul. Han er en del af et netværk af menneskesmuglere. Men andre skal også have deres betaling fra den flygtende syrer. I alt betaler syrerne mellem 60.000 og 80.000 kroner for at blive hjulpet til Europa. Vi har samlet nogle af ""tilbuddene"" fra menneskesmuglernes prisliste her. Fra Sudan til Libyen over land: 7.150 kroner Fra Somalia til Europa med fly og alle dokumenter, dog eksklusiv flybilletter: 27.500 kroner - grupperabat for familier: 45.000-70.000 kroner Fra Athen til Paris, inklusiv pas fra Elfenbenskysten samt opholdstilladelse: 12.750 kroner (dog 2008-pris)' Et stjålent pas på gaden i Athen: 2.250 kroner, vennepris: fra 750 kroner Fra den græske havneby Patras til Italien gemt i lastbil på skib: 37.500 kroner - eller gratis på egen risiko (nogle hægter sig fast under lastbilen) Hør mere i dagens udgave af Orientering på P1 og følg deres tema Fort Europa hele ugen og næste uge med. Kilder: Interviews med migranter fra Somalia, Sudan, Eritrea og Nigeria i 2011 og 2012 samt interview med menneskesmuglere i 2012-2013. Theodore Baird, phD Fellow hos Diis og RUC.",Her er prisen for et nyt liv i Europa,http://dr.dk/nyheder/udland/her-er-prisen-et-nyt-liv-i-europa,2013-09-10 16:01:00+00:00
