Link,Searchterm
http://dr.dk/nyheder/udland/150-migranter-frygtes-omkommet-i-skibbrud,migrant
http://dr.dk/nyheder/udland/spanien-redder-141-afrikanske-migranter-paa-middelhavet,migrant
http://dr.dk/nyheder/udland/malta-hjaelper-65-migranter-fra-tysk-redningsskib,migrant
http://dr.dk/nyheder/udland/ligene-af-62-migranter-fundet-i-havet-ud-libyen,migrant
http://dr.dk/nyheder/udland/graenseagenter-i-usa-hanede-migranter-pa-facebook,migrant
http://dr.dk/nyheder/udland/redningsskib-sejler-migranter-til-italien-trods-advarsler-fra-indenrigsminister,migrant
http://dr.dk/nyheder/udland/migranter-i-usa-behandles-som-dyr-billeder-dokumenterer-propfyldte-celler,migrant
http://dr.dk/nyheder/udland/kaptajn-paa-redningsskib-migranter-anholdt-i-italien,migrant
http://dr.dk/nyheder/udland/20-personer-er-savnet-efter-fund-af-bad-med-migranter,migrant
http://dr.dk/nyheder/udland/fire-menneskesmuglere-far-livstid-drab-pa-migranter,migrant
http://dr.dk/nyheder/udland/laeger-uden-graenser-sender-igen-redningsskib-til-middelhavet,migrant
http://dr.dk/nyheder/udland/hvordan-kan-53-migranter-ende-med-blive-draebt-i-libyen,migrant
http://dr.dk/nyheder/udland/31-aarige-rackete-reddede-40-migranter-i-land-heltinde-eller-skurk,migrant
http://dr.dk/nyheder/udland/fn-vagter-i-libyen-skoed-migranter-der-ville-flygte-fra-luftangreb,migrant
http://dr.dk/nyheder/udland/cyperns-foerste-seriemorder-gik-efter-migranter-justitsminister-traekker-sig,migrant
http://dr.dk/nyheder/udland/nye-asylregler-trump-vil-goere-vejen-til-asyl-svaerere,migrant
http://dr.dk/nyheder/udland/franskmaend-skal-bag-tremmer-saelge-bade-til-migranter,migrant
http://dr.dk/nyheder/udland/forsker-migranters-kapring-vidner-om-desperation-og-frygt,migrant
http://dr.dk/nyheder/udland/tysk-kaptajn-losladt-fra-husarrest-i-italien,migrant
http://dr.dk/nyheder/udland/migranter-kaprer-fragtskib-malta-afviser-tage-imod-dem,migrant
http://dr.dk/nyheder/udland/faengslet-sea-watch-kaptajn-far-millioner-i-stotte,migrant
http://dr.dk/nyheder/udland/trump-vil-smaekke-kassen-i-over-migranters-hjemlande,migrant
http://dr.dk/nyheder/udland/hjerteskaerende-foto-gaar-verden-rundt-druknet-far-og-datter-ville-ikke-vente-paa,migrant
http://dr.dk/nyheder/udland/sultne-beskidte-og-syge-migrantboern-sendt-tilbage-til-udskaeldt-center-i-texas,migrant
http://dr.dk/nyheder/udland/migranter-kravlede-ombord-pa-faerge-pa-vej-mod-storbritannien,migrant
http://dr.dk/nyheder/udland/trump-vil-fjerne-milliarder-i-stoette-til-centralamerika,migrant
http://dr.dk/nyheder/politik/ep-valg/illegale-migranter-er-vigtigste-ep-emne-anna-gaarslev-moeder-alagie-der,migrant
http://dr.dk/nyheder/udland/kurven-dykker-faerre-migranter-drukner-i-middelhavet,migrant
http://dr.dk/nyheder/udland/rederiforening-efter-kapring-vores-medlemmer-vil-stadig-tage-noedstedte-migranter-op,migrant
http://dr.dk/nyheder/udland/efter-10-dage-fanget-paa-skib-fire-eu-lande-tager-imod-62-noedstedte-migranter,migrant
http://dr.dk/nyheder/politik/ep-valg/europas-naaleoeje-er-mindre-men-historier-om-taesk-og-voldtaegt-er-vaerre,migrant
http://dr.dk/nyheder/udland/sejlede-rundt-i-uger-49-migranter-sat-i-land,migrant
http://dr.dk/nyheder/udland/bad-med-migranter-sejler-mod-spanien-efter-afvisninger,migrant
