Date,Title,URL
2019-08-15,Brøndby og FC Midtjylland chanceløse: Taber begge stort i ny europæisk skuffelse,/sporten/fodbold/europaleague/broendby-og-fc-midtjylland-chanceloese-taber-begge-stort-i-ny
2019-08-15,Ungarsk politiker vil boykotte Coca-Cola efter homo-reklame ,/nyheder/kultur/ungarsk-politiker-vil-boykotte-coca-cola-efter-homo-reklame
2019-08-15,Tidligere dansk udenrigsminister kommer med appel: EU bør komme på banen i Hongkong-strid,/nyheder/udland/tidligere-dansk-udenrigsminister-kommer-med-appel-eu-boer-komme-paa-banen-i-hongkong
2019-08-15,Pakistan: Otte soldater dræbt under kampe i Kashmir,/nyheder/udland/pakistan-otte-soldater-draebt-under-kampe-i-kashmir
2019-08-15,Korruptionssag hjemsøger Canadas premierminister kort før valg: 'Trudeau er skadet politisk',/nyheder/udland/korruptionssag-hjemsoeger-canadas-premierminister-kort-foer-valg-trudeau-er-skadet
2019-08-15,Stafet mod plastik i havet: Frivillige padler og løber fra Sylt til Skagen,/nyheder/regionale/midtvest/stafet-mod-plastik-i-havet-frivillige-padler-og-loeber-fra-sylt-til
2019-08-15,Folketingets ledelse skal diskutere statsministerens nye toprådgiver,/nyheder/politik/folketingets-ledelse-skal-diskutere-statsministerens-nye-topradgiver
2019-08-15,Riga FC venter FCK i jagten på europæisk gruppespil,/sporten/fodbold/europaleague/riga-fc-venter-fck-i-jagten-paa-europaeisk-gruppespil
2019-08-15,Er du enig? Her er Tarantinos ni film - fra værst til bedst,/nyheder/kultur/film/er-du-enig-her-er-tarantinos-ni-film-fra-vaerst-til-bedst
2019-08-15,Dansk golfspiller skyder sig ind i topfeltet i Prag,/sporten/golf/dansk-golfspiller-skyder-sig-ind-i-topfeltet-i-prag
2019-08-15,El-færgen Ellen begejstrer på jomfrurejse: 'Den er smuk som en svane',/nyheder/regionale/fyn/el-faergen-ellen-begejstrer-paa-jomfrurejse-den-er-smuk-som-en-svane
2019-08-15,STEM Nu skal verdens skønneste kormusik findes - hvad er din favorit?,/nyheder/kultur/stem-nu-skal-verdens-skoenneste-kormusik-findes-hvad-er-din-favorit
2019-08-15,Samsøs borgmester overvejer at genindføre bopælspligt,/nyheder/regionale/oestjylland/samsoes-borgmester-overvejer-genindfoere-bopaelspligt
2019-08-15,Japan forbereder sig på over en meter nedbør på et døgn: Vil have over 500.000 evakueret ,/nyheder/udland/japan-forbereder-sig-paa-over-en-meter-nedboer-paa-et-doegn-vil-have-over-500000
2019-08-15,Israel nægter to amerikanske kongresmedlemmer indrejse,/nyheder/udland/israel-naegter-amerikanske-kongresmedlemmer-indrejse
2019-08-15,"Carl Holst: Venstre-ledelsen har fået mund-og klovsyge, og kuren kan blive aflivning",/nyheder/politik/carl-holst-venstre-ledelsen-har-faaet-mund-og-klovsyge-og-kuren-kan-blive-aflivning
