Date,Opholdstilladelser
2007K1,52
2007K2,66
2007K3,182
2007K4,71
2008K1,57
2008K2,47
2008K3,181
2008K4,65
2009K1,59
2009K2,51
2009K3,180
2009K4,77
2010K1,67
2010K2,32
2010K3,171
2010K4,59
2011K1,64
2011K2,37
2011K3,178
2011K4,45
2012K1,94
2012K2,35
2012K3,162
2012K4,71
2013K1,44
2013K2,36
2013K3,201
2013K4,59
2014K1,71
2014K2,82
2014K3,215
2014K4,75
2015K1,81
2015K2,78
2015K3,178
2015K4,108
2016K1,78
2016K2,89
2016K3,171
2016K4,80
2017K1,187
2017K2,206
2017K3,219
2017K4,123
2018K1,144
2018K2,163
2018K3,232
2018K4,49
2019K1,57
2019K2,58
